target	offset_start	offset_end	context	sense	comments		
Air	66	69	"#2-1 Nigerian jet attacks refugee camp, killing dozens A Nigerian Air Force jet fighter mistook refugees for rebels yesterday, Nigerian military said, firing on a camp in Rann, Borno State."	AIRCRAFT | Air travel: aviation ['air']	MWE | air force		
Air	125	128	"The Russian military is divided into the following branches : the Russian Ground Forces , the Russian Navy , and the Russian Air Force ."	AIRCRAFT | Air travel: aviation ['air']	MWE | air force		
air	45	48	"With that, it was back to the sprawling U.S. air base outside the capital to underscore that last point, that he will close down the war and bring U.S. forces home."	AIRCRAFT | Air travel: aviation ['air']	MWE | air base		
air	158	161	"#15-25 Within a week of the Law and Justice Party coming to power in Poland, it removed web pages featuring the results of an investigation into the Smolensk air disaster in Russia in 2010."	AIRCRAFT | Air travel: aviation ['air']	-		
air	9	12	#12-9 An air ambulance also responded.	AIRCRAFT | Air travel: aviation ['air']	-		
air	10	13	"#19-7 The air force first said there were twelve crew members on board, but the total number of reported fatalities continued to change with later reports."	AIRCRAFT | Air travel: aviation ['air']	MWE | air force		
air	80	83	"#19-11 The military is not allowed to fly civilian passengers, according to the air force chief, unless they are related to military personnel, or under some special circumstances."	AIRCRAFT | Air travel: aviation ['air']	MWE | air force		
air	80	83	"It decomposes to arsenic trioxide , elemental arsenic and iodine when heated in air at 200 ° C."	"GAS | Chemicals, chemical compounds & gases ['air']"	-		
air	15	18	The dry desert air makes it a welcome retreat from the coastal humidity of the larger cities .	"GAS | Chemicals, chemical compounds & gases ['air']"	-		
air	75	78	"This is due to two competing physical effects : gravity , which causes the air to be as close as possible to the ground ; and the heat content of the air , which causes the molecules to bounce off each other and expand ."	"GAS | Chemicals, chemical compounds & gases ['air']"	-		
air	150	153	"This is due to two competing physical effects : gravity , which causes the air to be as close as possible to the ground ; and the heat content of the air , which causes the molecules to bounce off each other and expand ."	"GAS | Chemicals, chemical compounds & gases ['air']"	-		
air	36	39	"Because of the lower pressure , the air expands as it rises , which causes it to cool ."	"GAS | Chemicals, chemical compounds & gases ['air']"	-		
aired	22	27	"The second SAG awards aired live from the Santa Monica Civic Auditorium , while subsequent awards have been held at the Shrine Exposition Center ."	BROADCAST | Broadcasting in general ['air']	-		
aired	25	30	"The inaugural SAG Awards aired live on February 25 , 1995 from Stage 12 , Universal Studios ."	BROADCAST | Broadcasting in general ['air']	-		
anchored	35	43	"Eight Chinese fishing vessels were anchored off Scarborough Shoal, the Philippine government said on Wednesday, as Albert del Rosario, the country's foreign affairs secretary, called in Ma Keqing, the ambassador, for talks."	FASTEN | Arriving & departing by boat or ship ['anchor']	-		
anchored	93	101	"The DFA said a Philippine Navy surveillance aircraft monitored eight Chinese fishing vessels anchored inside the Panatag (Scarborough) Shoal in the West Philippine Sea on Sunday, April 8."	FASTEN | Arriving & departing by boat or ship ['anchor']	-		
anchored	141	149	"The Philippine Department of Foreign Affairs said that on Sunday, a Philippine navy surveillance plane sighted eight Chinese fishing vessels anchored in a lagoon at Scarborough, prompting the military to deploy its largest warship, the BRP Gregorio del Pilar, which was recently acquired from the United States."	FASTEN | Arriving & departing by boat or ship ['anchor']	-		
anchored	106	114	"The standoff began Sunday when a Philippine navy surveillance plane spotted eight Chinese fishing vessels anchored in a lagoon at Scarborough, the Philippine Foreign Affairs Department said."	FASTEN	-		
angry	156	161	Airport officials say that Israel's ambassador to Egypt has returned to Cairo after he and other embassy staffers fled on military planes when thousands of angry Egyptians attacked the embassy in September.	EMOTIONAL | Angry and displeased ['angry']	-		
angry	48	53	"He was airlifted out of Egypt when thousands of angry protesters attacked the embassy in September in response to the killing of six Egyptian soldiers by Israeli forces in Sinai, in what Israel said was involuntary manslaughter."	EMOTIONAL | Angry and displeased ['angry']	-		
angry	133	138	#11-17 The scientists say this shows they were stimulating predatory behavior specifically and not making the animals generally more angry or aggressive.	EMOTIONAL | Angry and displeased ['angry']	-		
appear	9	15	"They did appear to be shot, Lieutenant Goodyear said."	SEEM | Seeming and purporting to be ['appear']	-		
appear	35	41	"#42-58 This species of fungus does appear in Finland, but we chose to use a different strain from Denmark (with thanks to Prof. J. Eilenberg and the laboratory technician Louise Lee Munch Larsen from the University of Copenhagen)."	BE PRESENT | Appearing & disappearing ['appear']	-		
appear	19	25	"#24-10 The objects appear to be several feet in length and width and in one photo where the paint is severely peeled, red letters ""IC"" can be seen."	SEEM | Seeming and purporting to be ['appear']	-		
appear	172	178	"#24-12 When authorities discovered the photographs, they returned to the site, but only found a small, five to seven inch (about 13–18 cm) piece of debris they say doesn't appear to be part of a plane."	SEEM | Seeming and purporting to be ['appear']	-		
appear	32	38	#3-9 Pavlensky said he does not appear in the video.	"PERFORM | Cinema & theatre: acting, rehearsing & performing ['appear']"	-		
appear	49	55	#12-2 The unidentified man has been summonsed to appear at Maidstone Magistrates' Court on February 17.	BE PRESENT | Taking legal action ['appear']	-		
appeared	3	11	"It appeared they had been shot, Goodyear said."	SEEM | Seeming and purporting to be ['appear']	-		
appeared	24	32	"All were shot with what appeared to be a handgun, he said."	SEEM | Seeming and purporting to be ['appear']	-		
appeared	18	26	"Tonya Thomas then appeared at the neighbor's door and ordered the children to return home, he said, adding: ""They did."	BE PRESENT | Appearing & disappearing ['appear']	-		
appeared	4	12	"She appeared in the Simple Plan music video , `` I 'm Just a Kid '' , as the band 's love interest , as well as Nickelback 's video for `` Rockstar '' ."	"PERFORM | Cinema & theatre: acting, rehearsing & performing ['appear']"	-		
appeared	28	36	#24-34 Some claim the plane appeared to be headed in the direction of Diego Garcia.	SEEM | Seeming and purporting to be ['appear']	-		
appeared	38	46	"#38-14 A video of the shooting, which appeared to have been captured from the point of view of the shooter, was posted on Bryce Williams' Twitter and Facebook pages several hours afterwards."	SEEM | Seeming and purporting to be ['appear']	-		
appeared	26	34	"#41-22 The stowaways also appeared with a line through them alongside the word ""imigranti""."	BE PRESENT | Appearing & disappearing ['appear']	-		
appeared	34	42	#24-30 Some also noted the colors appeared to resemble that of a Malaysia Airlines plane.	SEEM | Seeming and purporting to be ['appear']	-		
appeared	44	52	"Dustin Hoffman and Robin Williams have each appeared in a hit comedy film ( Tootsie and Mrs. Doubtfire , respectively ) in which they played most scenes dressed as a woman ."	"PERFORM | Cinema & theatre: acting, rehearsing & performing ['appear']"	-		
appeared	3	11	He appeared at Lewes Crown Court on May 8 but did not enter a plea.	BE PRESENT | Taking legal action ['appear']	-		
appeared	31	39	Sheriff's deputies said Thomas appeared to have died from a self-inflicted gunshot wound and apparently shot her four children.	SEEM | Seeming and purporting to be ['appear']	-		
appeared	113	121	"#29-6 In 2012, he received a total of 19 votes in the New Hampshire Primary, the only primary ballot on which he appeared."	BE PRESENT | Appearing & disappearing ['appear']	-		
appeared	174	182	"The attack on Rastan came after Syrian forces killed at least five people when they raided a Sunni farming village in Hama province, torching homes and looting shops in what appeared to be a sign of worsening relations among the country's religious groups."	SEEM | Seeming and purporting to be ['appear']	-		
appearing	27	36	"Romney fired back Tuesday, appearing with former New York City Mayor Rudy Giuliani in front of a New York City firehouse and saying Obama should not be politicizing the issue."	BE PRESENT | Appearing & disappearing ['appear']	-		
appearing	78	87	#42-2 In a recently-accepted Evolution paper Bos and colleagues describe ants appearing to self-medicate.	SEEM | Seeming and purporting to be ['appear']	-		
appears	17	24	"#24-22 One piece appears to have a serial number on the side, possibly reading '021411270507.'"	SEEM | Seeming and purporting to be ['appear']	-		
appears	14	21	"Epidexipteryx appears to have lacked remiges ( wing feathers ) , and it likely could not fly ."	SEEM | Seeming and purporting to be ['appear']	-		
application	210	221	"#35-1 UK judge withholds report from Thai death penalty defendants In a judgement released today Mr Justice Green, sitting in the High Court in London, spoke of his ""very considerable unease"" as he rejected an application by two defendants in a Thai death penalty case."	REQUEST | Making appeals & requests ['application']	-		
application	73	84	"Romania signed its Europe Agreement in 1993 , and submitted its official application for membership in the EU in 1995 , the third of the post-communist European countries to do so after Hungary and Poland ."	REQUEST | Making appeals & requests ['application']	-		
application	182	193	"On Wednesday, two video journalists working for the state-owned RIA Novosti news agency were briefly detained outside the Election Commission building where Putin was handing in his application to run."	REQUEST | Making appeals & requests ['application']	-		
applying	164	172	"#35-39 She said Lin and Phyo are ""disappointed"" but ""are reassured that at least a British judge has now looked at the information held by the Metropolitan Police, applying anxious scrutiny, and determined that it would not assist them in their ongoing proceedings in Thailand."""	USE | Using and misusing ['apply']	-		
approached	16	26	"#36-3 As Wilson approached the site of the crash, reportedly the nose cone from Karam's car that had been airborne struck Wilson in the helmet; Wilson's car steered to the left and collided with the inside SAFER barrier."	COME NEAR | Closeness in distance and time ['approach']	-		
approached	50	60	A 32 year old man was sitting his car when he was approached by a lone male who fire a number of shots hitting the man at least once in the side.	COME NEAR | Closeness in distance and time ['approach']	-		
approached	79	89	The victim 32-year-old male was shot in the chest and arm by a lone gunman who approached the car he was sitting in outside a pub on Sarsfield Road in Ballyfermot at 11:10pm.	COME NEAR | Closeness in distance and time ['approach']	-		
approached	106	116	"Two Chinese maritime surveillance ships, identified as Zhonggou Haijian 75 and Zhonggou Haijian 84, later approached and positioned themselves between the Philippine warship and the Chinese fishing vessels ""thus preventing the arrests of the erring Chinese fishermen"", the statement said."	COME NEAR | Closeness in distance and time ['approach']	-		
approached	46	56	"Two Chinese maritime surveillance ships later approached and positioned themselves between the Philippine warship and the Chinese fishing vessels ""thus preventing the arrests of the erring Chinese fishermen,"" the Philippine statement said."	COME NEAR | Closeness in distance and time ['approach']	-		
Area	159	163	"#41-18 Hungary is presently building a border fence across the Serbian frontier, as migrants from war-torn Syria and other regions seek access to the Schengen Area of free movement, which covers most of the EU."	PLACE | Geography: areas of land in general ['area']	MWE | Schengen Area		
Area	61	65	"#39-27 Once inside, they can move freely inside the Schengen Area, which covers most of the EU."	PLACE | Geography: areas of land in general ['area']	MWE | Schengen Area		
area	89	93	"The shooting happened in Port St. John, about 24 kilometres west of Cape Canaveral in an area known as the ""Space Coast"" because it is the home of NASA's Kennedy Space Center, the location of numerous famed shuttle launches."	PLACE | Geography: areas of land in general ['area']	-		
area	4	8	"The area, a plain of farmland along the Orontes River, is dotted with villages of Christians, Sunni Muslims and Alawites, the offshoot sect of Shiite Islam to which Assad belongs."	PLACE | Geography: areas of land in general ['area']	-		
area	32	36	"'People I have spoken to in the area this morning are in a state of shock,' he said. '"	PLACE | Geography: areas of land in general ['area']	-		
area	5	9	"'The area is in total shock,' he said."	PLACE | Geography: areas of land in general ['area']	-		
area	50	54	"Two Chinese marine surveillance ships are in this area fulfilling the duties of safeguarding Chinese maritime rights and interests, it said in a statement."	PLACE | Geography: areas of land in general ['area']	-		
area	80	84	Witnesses at the scene of the shooting describe a silver saloon car leaving the area.	PLACE | Geography: areas of land in general ['area']	-		
area	55	59	Gardai are asking anyone who was in the Sarsfield Road area of Ballyfermot or in the Golden Bridge Terrace area to contact them on 01 666 7200.	PLACE | Geography: areas of land in general ['area']	-		
area	107	111	Gardai are asking anyone who was in the Sarsfield Road area of Ballyfermot or in the Golden Bridge Terrace area to contact them on 01 666 7200.	PLACE | Geography: areas of land in general ['area']	-		
area	224	228	"In northern Lebanon, meanwhile, residents said running gunbattles broke out in the city Saturday and continued through Sunday morning, primarily between a neighborhood populated by Sunni Muslims opposed to Assad and another area with many Assad backers from his Alawite sect."	PLACE | Geography: areas of land in general ['area']	-		
area	25	29	"Not a drill -- avoid the area,” the U.S. embassy said on Twitter."	PLACE | Geography: areas of land in general ['area']	-		
area	84	88	"The shooting happened in Port St. John, about 15 miles west of Cape Canaveral in an area known as the ""Space Coast"" because it is the home of NASA's Kennedy Space Center, the location of numerous famed shuttle launches."	PLACE | Geography: areas of land in general ['area']	-		
area	51	55	"Del Rosario had contacted Ma to emphasise that the area was ""an integral part of Philippine territory"" and invite him for talks aimed at finding a diplomatic solution, according to the statement."	PLACE | Geography: areas of land in general ['area']	-		
area	153	157	"PHL soldiers harassed Chinese fishermen In a statement on Wednesday, the Chinese Embassy said the two Chinese Marine Surveillance ships were sent in the area to safeguard China's maritime rights and interests after Philippine soldiers harassed the Chinese fishermen."	PLACE | Geography: areas of land in general ['area']	-		
area	37	41	All three were arrested in the Toome area and have been taken to the Serious Crime Suite at Antrim police station.	PLACE | Geography: areas of land in general ['area']	-		
area	36	40	They were all arrested in the Toome area within an hour on the shooting.	PLACE | Geography: areas of land in general ['area']	-		
area	166	170	"The foreign affairs department statement said the Philippines' flagship warship, the Gregorio Del Pilar, found the eight vessels there on Sunday while patrolling the area."	PLACE | Geography: areas of land in general ['area']	-		
area	189	193	"The Chinese Embassy said it got in touch with the Philippine Foreign Affairs Department and reiterated China's claim of sovereignty over Huangyan Island, urging the Philippine to leave the area, GMA said."	PLACE | Geography: areas of land in general ['area']	-		
area	98	102	A 32-year-old is recovering after he was shot in the chest and arm by a gunman in the Ballyfermot area of Dublin last night.	PLACE | Geography: areas of land in general ['area']	-		
area	75	79	Gardaí say witnesses at the scene describe a silver saloon car leaving the area.	PLACE | Geography: areas of land in general ['area']	-		
area	4	8	The area was scene of the first serious armed confrontations between army defectors and loyalist forces last year.	PLACE | Geography: areas of land in general ['area']	-		
area	60	64	The fatal incident occurred at a house in the William Court area of the Co Londonderry village on Saturday morning.	PLACE | Geography: areas of land in general ['area']	-		
area	28	32	"The shooting happened in an area known as the ""Space Coast"" because it is the home of NASA's Kennedy Space Center, the location of numerous shuttle launches."	PLACE | Geography: areas of land in general ['area']	-		
area	134	138	"Kabul Deputy Police Chief Daoud Amin said those killed in the blast included four people in a station wagon that was driving past the area, a passer-by and a Nepalese security guard."	PLACE | Geography: areas of land in general ['area']	-		
area	125	129	"Chinese officials, who refer to Scarborough Shoal as Huangyan Island, have in the past asserted Chinese sovereignty over the area."	PLACE | Geography: areas of land in general ['area']	-		
area	31	35	"People I have spoken to in the area this morning are in a state of shock, he said."	PLACE | Geography: areas of land in general ['area']	-		
area	56	60	"Parish priest Fr Andy Dolan told UTV the feeling in the area is one of ""shock and horror."""	PLACE | Geography: areas of land in general ['area']	-		
area	205	209	The Philippines foreign secretary has said he and the Chinese ambassador have agreed to resolve diplomatically a stand-off involving a Philippine warship and two Chinese surveillance vessels in a disputed area of the South China Sea.	PLACE | Geography: areas of land in general ['area']	-		
area	33	37	"Mr McGuinness, who is MP for the area, said: ""This family is clearly deeply shocked and traumatised by what has happened over the weekend."	PLACE | Geography: areas of land in general ['area']	-		
area	174	178	"Shock: Locals in Bellaghy, County Derry, are said to be stunned by the tragic shooting, which happened in Brenda O'Neill's rented house 'All three were arrested in the Toome area and have been taken to the Serious Crime Suite at Antrim police station.'"	PLACE | Geography: areas of land in general ['area']	-		
area	38	42	  Afghan security forces swarmed the  area and regained control after hours of gunfire.	PLACE | Geography: areas of land in general ['area']	-		
area	376	380	"  He credited the Afghan security forces for quickly   responding and said there was no failure in intelligence leading up to   the incident.Meanwhile, NATO officials said a bomb attack killed two service members in the eastern part of the country.Last month, militants staged one of the largest coordinated assaults in Kabul, which paralyzed the city's center and diplomatic area for nearly 18 hours."	PLACE | Geography: areas of land in general ['area']	-		
area	57	61	Gardaí are asking anyone who was in the Sarsfield   Road area of Ballyfermot or in the Golden Bridge Terrace area to contact them on 01-666-7200.	PLACE | Geography: areas of land in general ['area']	-		
area	109	113	Gardaí are asking anyone who was in the Sarsfield   Road area of Ballyfermot or in the Golden Bridge Terrace area to contact them on 01-666-7200.	PLACE | Geography: areas of land in general ['area']	-		
area	166	170	"#2-11 Major General Leo Irabor, who led the operation, said ""Unfortunately, the strike was conducted but it turned out that other civilians were somewhere around the area and they were affected""."	PLACE | Geography: areas of land in general ['area']	-		
area	33	37	"#34-5 Six shells of them hit the area near KPA civil police posts 542 and 543 and other 15 shells fell near KPA civil police posts 250 and 251,"" said KCNA."	PLACE | Geography: areas of land in general ['area']	-		
area	57	61	"#2-19 Robert added the group knew travel and work in the area was dangerous, and took precautions."	PLACE | Geography: areas of land in general ['area']	-		
area	83	87	"#21-14 Afterwards, the group revealed its findings: as Bianchi entered the run-off area of the track, he disabled the failsafe mechanism by ""[applying] both throttle and brake together, using both feet"", while his front wheels were locked; the panel also stated he did not slow down enough to control his car."	PLACE | Geography: areas of land in general ['area']	-		
